id,phrase,type,text,lat,long,url,datetime,unixtime,temperature,apparentTemperature,windSpeed,precipAccumulation,precipIntensity,temperatureHigh,temperatureLow,windSpeedHigh,apparentTemperatureHigh,apparentTemperatureLow,precipIntensityMax
897831017649754113,hot as fuck,fuck,Its hot as fuck lmao smh,42.036939,-71.683502,https://twitter.com/JetaimeY_/status/897831017649754113,2017-08-16T11:28:38-04:00,1502897318,79.75,79.9,9.46,0.0,0.0,83.34,58.9,4.53,83.34,58.9,0.0
897831587634720768,cold as shit,shit,It's cold as shit in our office â¹ï¸,29.52619,-95.1271425,https://twitter.com/LilBitCrystal/status/897831587634720768,2017-08-16T11:28:38-04:00,1502897318,89.12,99.33,12.45,0.0,0.0002,92.84,83.22,10.68,102.62,92.81,0.0032
897832781362991105,hotter than satan's ass,satan's ass,It really sucks working your ass off out in the plants around this time of the year. It's hotter than Satan's ass ð°,30.035254,-93.33857,https://twitter.com/_Vitamin_deee/status/897832781362991105,2017-08-16T11:28:38-04:00,1502897318,87.79,102.41,11.31,0.0,0.0,88.29,82.31,8.82,102.51,92.17,0.0011
897836982478536704,hot as tits,tits,It's hot as tits man.,39.789929,-84.2919815,https://twitter.com/_Crysten/status/897836982478536704,2017-08-16T11:28:38-04:00,1502897318,83.43,87.29,4.7,0.0,0.0,88.31,72.83,2.04,91.19,74.26,0.0005
897840395568205824,hot as hades,hades,It's hot as Hades Balls out this bitch,36.090397,-79.8573635,https://twitter.com/lildreezydre18/status/897840395568205824,2017-08-16T11:28:38-04:00,1502897318,84.03,90.47,2.87,0.0,0.0001,88.15,72.68,1.9,94.32,74.27,0.0003
897845805327011841,hot as shit,shit,Mf it's hot as shit,32.2587885,-90.418053,https://twitter.com/breonaxo/status/897845805327011841,2017-08-16T12:29:56-04:00,1502900996,84.94,95.53,5.72,0.0,0.0111,88.21,73.03,3.81,100.73,74.59,0.0992
897846362921869312,hot as hell,hell,I picked a great day to where Nike shorts bc it's hot as hell,36.090397,-79.8573635,https://twitter.com/JadaMarieee_/status/897846362921869312,2017-08-16T12:29:56-04:00,1502900996,85.41,91.5,2.12,0.0,0.0001,88.15,72.68,1.9,94.32,74.27,0.0003
897849894362386433,hot as hell,hell,Even as a Floridian BOY IT'S HOT AS HELL TODAY *whew*,26.721896,-80.1226195,https://twitter.com/Kitana_Prime/status/897849894362386433,2017-08-16T12:29:56-04:00,1502900996,90.84,101.36,7.43,0.0,0.0001,90.92,80.72,3.69,101.8,87.75,0.0017
897850259098947584,hotter than ryan,ryan,"To the girl at Dunkin Doughnuts: Yes, ice in my coffee plz! Otherwise it's hotter than Ryan Gosling on literallyâ¦ https://t.co/7iIvYc6bfw",39.713563,-104.9220935,https://twitter.com/EricaBreuerful/status/897850259098947584,2017-08-16T12:29:56-04:00,1502900996,64.75,64.75,3.75,0.0,0.0002,71.78,55.33,0.93,71.78,55.33,0.0022
897851908068700160,hot as hell,hell,Man it's hot as hell,40.3651595,-82.6694675,https://twitter.com/____Tray/status/897851908068700160,2017-08-16T12:29:56-04:00,1502900996,82.56,86.22,1.66,0.0,0.0008,85.97,69.71,2.34,89.31,70.85,0.0117
